date;avg_temp
1920-04-01;9.62151
1920-05-01;13.9597
1920-06-01;15.0293
1920-07-01;17.5696
1920-08-01;15.2609
1920-09-01;13.3011
1920-10-01;7.13928
1920-11-01;1.53704
1920-12-01;0.43312
1921-01-01;3.88401
1921-02-01;1.33875
1921-03-01;6.18737
1921-04-01;8.09334
1921-05-01;14.0273
1921-06-01;14.4945
1921-07-01;18.7219
1921-08-01;17.406
1921-09-01;13.8976
1921-10-01;11.2453
1921-11-01;0.02128
1921-12-01;0.53537
1922-01-01;-2.6971
1922-02-01;-1.2181
1922-03-01;3.90056
1922-04-01;5.82099
1922-05-01;13.591
1922-06-01;15.5731
1922-07-01;15.782
1922-08-01;15.5312
1922-09-01;11.5472
1922-10-01;5.28653
1922-11-01;2.60919
1922-12-01;2.14098
1923-01-01;1.36145
1923-02-01;0.98239
1923-03-01;5.2463
1923-04-01;7.07973
1923-05-01;11.614
1923-06-01;12.0328
1923-07-01;18.6831
1923-08-01;15.9535
1923-09-01;13.3655
1923-10-01;10.6203
1923-11-01;3.03485
1923-12-01;-1.5526
1924-01-01;-2.8006
1924-02-01;-2.4708
1924-03-01;2.52196
1924-04-01;6.59586
1924-05-01;13.6417
1924-06-01;15.1684
1924-07-01;16.8362
1924-08-01;14.759
1924-09-01;13.9298
1924-10-01;9.60347
1924-11-01;3.29303
1924-12-01;1.6494
1925-01-01;2.36074
1925-02-01;3.8279
1925-03-01;1.77063
1925-04-01;8.5205
1925-05-01;13.9041
1925-06-01;15.0504
1925-07-01;18.0667
1925-08-01;16.8618
1925-09-01;11.4829
1925-10-01;8.6587
1925-11-01;2.129
1925-12-01;-0.3987
1926-01-01;-0.2723
1926-02-01;4.27974
1926-03-01;4.34239
1926-04-01;10.0461
1926-05-01;10.8121
1926-06-01;13.8751
1926-07-01;17.4337
1926-08-01;16.4195
1926-09-01;15.0058
1926-10-01;8.06842
1926-11-01;6.23139
1926-12-01;0.32473
1927-01-01;1.59354
1927-02-01;0.96791
1927-03-01;6.27789
1927-04-01;7.44285
1927-05-01;11.0487
1927-06-01;14.1111
1927-07-01;17.4631
1927-08-01;16.7446
1927-09-01;13.91
1927-10-01;8.88314
1927-11-01;2.62382
1927-12-01;-2.6461
1928-01-01;1.39216
1928-02-01;2.46531
1928-03-01;3.35945
1928-04-01;7.7896
1928-05-01;10.2221
1928-06-01;14.1477
1928-07-01;18.567
1928-08-01;16.5446
1928-09-01;13.0706
1928-10-01;9.00418
1928-11-01;6.2223
1928-12-01;-0.4473
1929-01-01;-4.6627
1929-02-01;-6.5212
1929-03-01;3.11122
1929-04-01;4.85253
1929-05-01;13.2087
1929-06-01;14.7274
1929-07-01;17.5658
1929-08-01;17.4453
1929-09-01;15.9743
1929-10-01;9.92636
1929-11-01;4.96428
1929-12-01;3.48832
1930-01-01;2.41514
1930-02-01;-0.0358
1930-03-01;4.59945
1930-04-01;8.69632
1930-05-01;11.7826
1930-06-01;18.301
1930-07-01;16.5456
1930-08-01;16.4187
1930-09-01;13.6375
1930-10-01;9.03564
1930-11-01;6.09436
1930-12-01;0.5651
1931-01-01;-0.442
1931-02-01;-1.3052
1931-03-01;0.27016
1931-04-01;5.72379
1931-05-01;14.8962
1931-06-01;15.911
1931-07-01;16.9491
1931-08-01;15.6534
1931-09-01;10.6082
1931-10-01;7.47493
1931-11-01;4.86324
1931-12-01;-0.0734
1932-01-01;1.88202
1932-02-01;-2.1021
1932-03-01;1.01473
1932-04-01;7.14935
1932-05-01;12.4704
1932-06-01;14.495
1932-07-01;18.0514
1932-08-01;18.9997
1932-09-01;15.4888
1932-10-01;8.48755
1932-11-01;4.33002
1932-12-01;1.48271
1933-01-01;-2.7602
1933-02-01;-0.2978
1933-03-01;5.31461
1933-04-01;7.09182
1933-05-01;11.3719
1933-06-01;14.4577
1933-07-01;18.112
1933-08-01;17.3433
1933-09-01;14.2786
1933-10-01;8.90678
1933-11-01;2.59414
1933-12-01;-3.6394
1934-01-01;-0.4162
1934-02-01;0.79579
1934-03-01;4.26906
1934-04-01;10.0008
1934-05-01;13.0442
1934-06-01;15.8871
1934-07-01;18.2118
1934-08-01;16.5188
1934-09-01;15.7509
1934-10-01;9.5978
1934-11-01;3.94546
1934-12-01;3.34345
1935-01-01;-1.4151
1935-02-01;1.34421
1935-03-01;2.78186
1935-04-01;7.34078
1935-05-01;10.2937
1935-06-01;17.1511
1935-07-01;17.7301
1935-08-01;17.1232
1935-09-01;14.0474
1935-10-01;8.67655
1935-11-01;5.15807
1935-12-01;-0.0157
1936-01-01;2.39436
1936-02-01;-0.1558
1936-03-01;5.30127
1936-04-01;6.54264
1936-05-01;12.566
1936-06-01;16.0906
1936-07-01;16.8614
1936-08-01;16.5416
1936-09-01;13.3848
1936-10-01;6.26212
1936-11-01;4.07269
1936-12-01;1.45987
1937-01-01;-1.145
1937-02-01;1.80508
1937-03-01;2.85941
1937-04-01;7.87008
1937-05-01;14.5905
1937-06-01;16.2878
1937-07-01;17.2221
1937-08-01;17.4779
1937-09-01;13.7553
1937-10-01;9.96041
1937-11-01;3.15363
1937-12-01;-0.9163
1938-01-01;0.77971
1938-02-01;0.92323
1938-03-01;7.12015
1938-04-01;5.2618
1938-05-01;10.8928
1938-06-01;15.9101
1938-07-01;16.8438
1938-08-01;17.9275
1938-09-01;14.3853
1938-10-01;8.81389
1938-11-01;7.13888
1938-12-01;-1.9294
1939-01-01;1.65395
1939-02-01;1.70741
1939-03-01;1.91295
1939-04-01;8.88991
1939-05-01;10.5376
1939-06-01;16.2297
1939-07-01;17.1046
1939-08-01;17.9681
1939-09-01;13.9644
1939-10-01;6.50616
1939-11-01;5.19712
1939-12-01;-1.6528
1940-01-01;-7.8934
1940-02-01;-4.11
1940-03-01;2.5021
1940-04-01;7.82632
1940-05-01;11.7994
1940-06-01;16.5769
1940-07-01;16.0978
1940-08-01;14.6337
1940-09-01;12.6562
1940-10-01;7.80433
1940-11-01;5.12817
1940-12-01;-2.7432
1941-01-01;-5.5915
1941-02-01;-0.6727
1941-03-01;3.27178
1941-04-01;5.52022
1941-05-01;8.92151
1941-06-01;16.1373
1941-07-01;18.5385
1941-08-01;15.2287
1941-09-01;12.8089
1941-10-01;7.97642
1941-11-01;1.8342
1941-12-01;1.01599
1942-01-01;-6.7369
1942-02-01;-3.4172
1942-03-01;2.56411
1942-04-01;7.23268
1942-05-01;12.1631
1942-06-01;14.185
1942-07-01;16.8022
1942-08-01;18.0402
1942-09-01;15.4331
1942-10-01;10.9769
1942-11-01;3.09776
1942-12-01;1.41791
1943-01-01;-0.5845
1943-02-01;2.11542
1943-03-01;4.8153
1943-04-01;8.62134
1943-05-01;12.428
1943-06-01;14.4338
1943-07-01;17.8535
1943-08-01;17.7352
1943-09-01;14.5897
1943-10-01;10.3963
1943-11-01;2.71917
1943-12-01;-0.2488
