Date;Open;High;Low;Close;Adj Close;Volume;Return_log
1985-01-29;1277.719971;1295.48999;1266.890015;1292.619995;1292.619995;13560000;
1985-01-30;1297.369995;1305.099976;1278.930054;1287.880005;1287.880005;16820000;-0.0036737030272773197
1985-01-31;1283.23999;1293.400024;1272.640015;1286.77002;1286.77002;14070000;-0.0008622415147616636
1985-02-01;1276.939941;1286.109985;1269.77002;1277.719971;1277.719971;10980000;-0.007058001084841337
1985-02-04;1272.079956;1294.939941;1268.98999;1290.079956;1290.079956;11630000;0.009626980925497186
1985-02-05;1294.060059;1301.130005;1278.599976;1285.22998;1285.22998;13800000;-0.003766522752046697
1985-02-06;1284.890015;1294.5;1275.069946;1280.589966;1280.589966;14610000;-0.003616792413908776
1985-02-07;1285.0;1297.040039;1279.810059;1290.079956;1290.079956;11440000;0.007383315165955473
1985-02-08;1290.079956;1297.150024;1281.359985;1289.969971;1289.969971;8000000;-8.525804009806848e-05
1985-02-11;1287.98999;1291.73999;1268.660034;1276.060059;1276.060059;12600000;-0.01084168781132
1985-02-12;1271.199951;1283.130005;1266.339966;1276.609985;1276.609985;11870000;0.00043086336974962336
1985-02-13;1277.829956;1304.660034;1274.51001;1297.920044;1297.920044;14050000;0.016554901634417973
1985-02-14;1301.790039;1307.530029;1283.680054;1287.880005;1287.880005;14020000;-0.007765557478643714
1985-02-15;1289.199951;1296.27002;1275.069946;1282.02002;1282.02002;8730000;-0.004560484921072749
1985-02-19;1279.810059;1287.430054;1273.52002;1280.589966;1280.589966;6690000;-0.0011160919189885377
1985-02-20;1280.150024;1292.51001;1272.530029;1283.130005;1283.130005;10760000;0.001981526734466499
1985-02-21;1280.369995;1287.099976;1272.640015;1279.040039;1279.040039;8600000;-0.0031925823842327006
1985-02-22;1277.939941;1286.550049;1269.98999;1275.839966;1275.839966;8500000;-0.0025050684706968696
1985-02-25;1269.98999;1283.130005;1263.910034;1277.5;1277.5;8420000;0.0013002845339791236
1985-02-26;1276.280029;1293.180054;1272.310059;1286.109985;1286.109985;11910000;0.006717103946019876
