Date;AAPL;AMZN;FB;GOOG;NFLX;^GSPC
2000-05-30;2.8134330000000003;51.75;;;;1422.449951
2000-05-31;2.698968;48.3125;;;;1420.599976
2000-06-01;2.8636369999999998;50.1875;;;;1448.810059
2000-06-02;2.9740860000000002;57.875;;;;1477.26001
2000-06-05;2.933922;54.5;;;;1467.630005
2000-06-06;2.984127;50.5625;;;;1457.839966
2000-06-07;3.102608;51.8125;;;;1471.359985
2000-06-08;3.04638;51.875;;;;1461.670044
2000-06-09;3.0765029999999998;52.1875;;;;1456.949951
2000-06-12;2.929907;48.4375;;;;1446.0
2000-06-13;3.036339;49.0;;;;1469.439941
2000-06-14;2.9058080000000004;46.4375;;;;1470.540039
2000-06-15;2.968061;46.3125;;;;1478.72998
2000-06-16;2.929907;46.0;;;;1464.459961
2000-06-19;3.1046169999999997;45.3125;;;;1486.0
2000-06-20;3.2532200000000002;46.125;;;;1475.949951
2000-06-21;3.574527;46.0625;;;;1479.130005
2000-06-22;3.4540370000000005;42.0;;;;1452.180054
2000-06-23;3.3214980000000005;33.875;;;;1441.47998
2000-06-26;3.478135;33.9375;;;;1455.310059
2000-06-27;3.325514;36.5;;;;1450.550049
2000-06-28;3.498216;37.875;;;;1454.819946
2000-06-29;3.2933839999999996;37.125;;;;1442.390015
2000-06-30;3.365678;36.3125;;;;1454.599976
2000-07-03;3.425922;37.0;;;;1469.540039
2000-07-05;3.317482;36.5;;;;1446.22998
2000-07-06;3.329531;36.0625;;;;1456.670044
2000-07-07;3.498216;36.125;;;;1478.900024
2000-07-10;3.670918;35.0625;;;;1475.619995
2000-07-11;3.658869;33.125;;;;1480.880005
2000-07-12;3.783375;35.0625;;;;1492.920044
2000-07-13;3.630754;35.0;;;;1495.839966
2000-07-14;3.707065;42.625;;;;1509.97998
2000-07-17;3.747228;41.125;;;;1510.48999
2000-07-18;3.678951;41.75;;;;1493.73999
2000-07-19;3.3857589999999997;40.875;;;;1481.959961
2000-07-20;3.542396;40.3125;;;;1495.569946
2000-07-21;3.441988;41.125;;;;1480.189941
2000-07-24;3.128714;38.75;;;;1464.290039
2000-07-25;3.217074;37.625;;;;1474.469971
2000-07-26;3.217074;36.0625;;;;1452.420044
2000-07-27;3.3415790000000003;31.375;;;;1449.619995
2000-07-28;3.1046169999999997;30.0;;;;1419.890015
2000-07-31;3.26527;30.125;;;;1430.829956
2000-08-01;3.168878;30.25;;;;1438.099976
2000-08-02;3.036339;30.8125;;;;1438.699951
2000-08-03;3.084535;31.5;;;;1452.560059
2000-08-04;3.044372;32.5;;;;1462.930054
2000-08-07;3.080518;33.8125;;;;1479.319946
2000-08-08;3.004208;32.9375;;;;1482.800049
2000-08-09;3.052405;30.875;;;;1472.869995
2000-08-10;3.056421;30.4375;;;;1460.25
2000-08-11;3.064454;33.6875;;;;1471.839966
2000-08-14;3.02429;34.875;;;;1491.560059
2000-08-15;3.0001919999999997;37.5625;;;;1484.430054
2000-08-16;3.1166650000000002;38.625;;;;1479.849976
2000-08-17;3.305432;38.25;;;;1496.069946
2000-08-18;3.213057;39.0;;;;1491.719971
2000-08-21;3.245188;37.5;;;;1499.47998
2000-08-22;3.3214980000000005;36.5;;;;1498.130005
2000-08-23;3.4901839999999997;38.8125;;;;1505.969971
2000-08-24;3.6056480000000004;39.375;;;;1508.310059
2000-08-25;3.650837;39.9375;;;;1506.449951
2000-08-28;3.7311629999999996;39.125;;;;1514.089966
2000-08-29;3.8034559999999997;39.625;;;;1509.839966
2000-08-30;3.8235379999999997;42.9375;;;;1502.589966
2000-08-31;3.915914;41.5;;;;1517.680054
2000-09-01;4.076567;41.5;;;;1520.77002
2000-09-05;4.0123050000000005;45.6875;;;;1507.079956
2000-09-06;3.75526;45.875;;;;1492.25
2000-09-07;3.9841900000000003;43.5;;;;1502.51001
2000-09-08;3.783375;42.9375;;;;1494.5
2000-09-11;3.75526;42.375;;;;1489.26001
2000-09-12;3.7110819999999998;42.6875;;;;1481.98999
2000-09-13;3.727146;42.4375;;;;1484.910034
2000-09-14;3.6538440000000003;44.875;;;;1480.869995
2000-09-15;3.5494199999999996;43.625;;;;1465.810059
2000-09-18;3.8978370000000004;42.8125;;;;1444.51001
2000-09-19;3.8516510000000004;40.75;;;;1459.900024
2000-09-20;3.922938;37.5;;;;1451.339966
2000-09-21;3.642803;40.0625;;;;1449.050049
2000-09-22;3.353629;41.4375;;;;1448.719971
2000-09-25;3.437971;40.375;;;;1439.030029
2000-09-26;3.305432;39.75;;;;1427.209961
2000-09-27;3.14478;37.875;;;;1426.569946
2000-09-28;3.437971;40.0;;;;1458.290039
2000-09-29;1.654725;38.4375;;;;1436.51001
2000-10-02;1.558333;35.875;;;;1436.22998
2000-10-03;1.433827;35.0625;;;;1426.459961
2000-10-04;1.518169;36.0;;;;1434.319946
2000-10-05;1.417761;33.5625;;;;1436.280029
2000-10-06;1.425794;31.5625;;;;1408.98999
2000-10-09;1.39768;30.0625;;;;1402.030029
2000-10-10;1.341451;30.4375;;;;1387.02002
2000-10-11;1.261125;27.8125;;;;1364.589966
2000-10-12;1.285223;25.125;;;;1329.780029
2000-10-13;1.417761;28.4375;;;;1374.170044
2000-10-16;1.381615;24.3125;;;;1374.619995
2000-10-17;1.293256;21.9375;;;;1349.969971
2000-10-18;1.293256;25.125;;;;1342.130005
2000-10-19;1.2169450000000002;27.75;;;;1388.76001
2000-10-20;1.253093;30.8125;;;;1396.930054
2000-10-23;1.309321;30.0;;;;1395.780029
2000-10-24;1.2129290000000001;29.5625;;;;1398.130005
2000-10-25;1.188831;31.875;;;;1364.900024
2000-10-26;1.188831;36.875;;;;1364.439941
2000-10-27;1.192847;35.625;;;;1379.579956
2000-10-30;1.2410430000000001;32.875;;;;1398.660034
2000-10-31;1.257109;36.625;;;;1429.400024
2000-11-01;1.3173540000000001;37.375;;;;1421.219971
2000-11-02;1.433827;39.75;;;;1428.319946
2000-11-03;1.4298110000000002;37.5625;;;;1426.689941
2000-11-06;1.3775979999999999;36.5625;;;;1432.189941
2000-11-07;1.369566;36.9375;;;;1431.869995
2000-11-08;1.289239;33.875;;;;1409.280029
2000-11-09;1.297272;31.25;;;;1400.140015
2000-11-10;1.2249780000000001;30.0625;;;;1365.97998
2000-11-13;1.245059;27.8125;;;;1351.26001
2000-11-14;1.301288;28.9375;;;;1382.949951
2000-11-15;1.27719;29.5;;;;1389.810059
2000-11-16;1.220962;27.8125;;;;1372.319946
2000-11-17;1.188831;27.4375;;;;1367.719971
2000-11-20;1.2169450000000002;25.8125;;;;1342.619995
2000-11-21;1.208913;24.25;;;;1347.349976
2000-11-22;1.188831;25.1875;;;;1322.359985
2000-11-24;1.2410430000000001;28.9375;;;;1341.77002
2000-11-27;1.20088;28.0;;;;1348.969971
2000-11-28;1.158706;25.0312;;;;1336.089966
2000-11-29;1.128587;26.9375;;;;1341.930054
2000-11-30;1.060309;24.6875;;;;1314.949951
2000-12-01;1.0964559999999999;24.625;;;;1315.22998
2000-12-04;1.072358;26.5625;;;;1324.969971
2000-12-05;1.0924399999999999;25.375;;;;1376.540039
2000-12-06;0.9197379999999999;23.625;;;;1351.459961
2000-12-07;0.9197379999999999;21.375;;;;1343.550049
2000-12-08;0.967934;23.4375;;;;1369.890015
2000-12-11;0.975966;25.3125;;;;1380.199951
2000-12-12;0.988015;25.875;;;;1371.180054
2000-12-13;0.963917;23.75;;;;1359.98999
2000-12-14;0.9277700000000001;22.6875;;;;1340.930054
2000-12-15;0.9036719999999999;22.875;;;;1312.150024
2000-12-18;0.9157209999999999;19.875;;;;1322.73999
2000-12-19;0.8996559999999999;18.25;;;;1305.599976
2000-12-20;0.9237540000000001;16.6875;;;;1264.73999
2000-12-21;0.9036719999999999;15.1875;;;;1274.859985
2000-12-22;0.963917;15.5625;;;;1305.949951
2000-12-26;0.943836;16.9375;;;;1315.189941
2000-12-27;0.951868;16.875;;;;1328.920044
2000-12-28;0.951868;17.375;;;;1334.219971
2000-12-29;0.9558840000000001;15.5625;;;;1320.280029
2001-01-02;0.9558840000000001;13.875;;;;1283.27002
2001-01-03;1.052276;17.5625;;;;1347.560059
2001-01-04;1.0964559999999999;15.5;;;;1333.339966
2001-01-05;1.052276;14.5625;;;;1298.349976
2001-01-08;1.064325;14.9375;;;;1295.859985
2001-01-09;1.104488;16.375;;;;1300.800049
2001-01-10;1.064325;16.5;;;;1313.27002
2001-01-11;1.1567;17.0;;;;1326.819946
2001-01-12;1.104488;17.6875;;;;1318.550049
2001-01-16;1.100472;18.0625;;;;1326.650024
2001-01-17;1.08039;18.375;;;;1329.469971
2001-01-18;1.20088;19.5;;;;1347.969971
2001-01-19;1.253093;19.9375;;;;1342.540039
2001-01-22;1.237027;18.5;;;;1342.900024
2001-01-23;1.3173540000000001;18.9531;;;;1360.400024
2001-01-24;1.3173540000000001;21.875;;;;1364.300049
2001-01-25;1.2812059999999998;19.0;;;;1357.51001
2001-01-26;1.257109;19.5;;;;1354.949951
2001-01-29;1.393664;20.125;;;;1364.170044
2001-01-30;1.39768;18.9375;;;;1373.72998
2001-01-31;1.3896469999999999;17.3125;;;;1366.01001
2001-02-01;1.357517;16.25;;;;1373.469971
2001-02-02;1.325386;14.375;;;;1349.469971
2001-02-05;1.297272;14.4375;;;;1354.310059
2001-02-06;1.357517;15.8125;;;;1352.26001
2001-02-07;1.3334190000000001;15.0;;;;1340.890015
2001-02-08;1.3334190000000001;14.375;;;;1332.530029
2001-02-09;1.2289940000000001;13.375;;;;1314.76001
2001-02-12;1.265141;14.5;;;;1330.310059
2001-02-13;1.2289940000000001;13.75;;;;1318.800049
2001-02-14;1.253093;14.4375;;;;1315.920044
2001-02-15;1.289239;14.5;;;;1326.609985
2001-02-16;1.220962;13.6875;;;;1301.530029
2001-02-20;1.176782;12.5;;;;1278.939941
2001-02-21;1.2129290000000001;11.9375;;;;1255.27002
2001-02-22;1.208913;11.9375;;;;1252.819946
2001-02-23;1.208913;11.8125;;;;1245.859985
2001-02-26;1.253093;11.9375;;;;1267.650024
2001-02-27;1.245059;11.75;;;;1257.939941
2001-02-28;1.172766;10.1875;;;;1239.939941
2001-03-01;1.2048969999999999;10.4375;;;;1241.22998
2001-03-02;1.237027;10.0;;;;1234.180054
2001-03-05;1.309321;12.625;;;;1241.410034
2001-03-06;1.381615;11.875;;;;1253.800049
2001-03-07;1.365549;12.25;;;;1261.890015
2001-03-08;1.337435;11.6875;;;;1264.73999
2001-03-09;1.301288;12.25;;;;1233.420044
2001-03-12;1.196864;10.625;;;;1180.160034
2001-03-13;1.257109;11.0;;;;1197.660034
2001-03-14;1.313337;10.625;;;;1166.709961
2001-03-15;1.265141;10.875;;;;1173.560059
2001-03-16;1.261125;11.0;;;;1150.530029
2001-03-19;1.3213700000000002;10.5;;;;1170.810059
2001-03-20;1.265141;10.25;;;;1142.619995
2001-03-21;1.293256;10.0;;;;1122.140015
2001-03-22;1.3896469999999999;10.1875;;;;1117.579956
2001-03-23;1.478006;10.1875;;;;1139.829956
2001-03-26;1.399607;10.94;;;;1152.689941
2001-03-27;1.469652;11.64;;;;1182.170044
2001-03-28;1.42467;10.8;;;;1153.290039
2001-03-29;1.447804;10.0;;;;1147.949951
2001-03-30;1.418243;10.23;;;;1160.329956
2001-04-02;1.387398;9.1;;;;1145.869995
2001-04-03;1.300645;8.63;;;;1106.459961
2001-04-04;1.253093;8.4;;;;1103.25
2001-04-05;1.34113;9.12;;;;1151.439941
2001-04-06;1.323137;8.37;;;;1128.430054
2001-04-09;1.3199239999999999;11.18;;;;1137.589966
2001-04-10;1.416316;12.01;;;;1168.380005
2001-04-11;1.400893;13.32;;;;1165.890015
2001-04-12;1.440735;14.67;;;;1183.5
2001-04-16;1.377759;14.03;;;;1179.680054
2001-04-17;1.310927;14.74;;;;1191.810059
2001-04-18;1.464512;16.540001;;;;1238.160034
2001-04-19;1.652796;15.99;;;;1253.689941
2001-04-20;1.609099;15.78;;;;1242.97998
2001-04-23;1.558333;16.200001;;;;1224.359985
2001-04-24;1.544195;15.68;;;;1209.469971
2001-04-25;1.588535;16.09;;;;1228.75
2001-04-26;1.586608;15.43;;;;1234.52002
2001-04-27;1.6836419999999999;15.27;;;;1253.050049
2001-04-30;1.638017;15.78;;;;1249.459961
2001-05-01;1.666291;16.889999;;;;1266.439941
2001-05-02;1.708704;17.110001;;;;1267.430054
2001-05-03;1.603958;16.75;;;;1248.579956
2001-05-04;1.654725;17.559998999999998;;;;1266.609985
2001-05-07;1.603958;16.92;;;;1263.51001
2001-05-08;1.5788959999999999;16.18;;;;1261.199951
2001-05-09;1.540982;15.01;;;;1255.540039
2001-05-10;1.478006;14.62;;;;1255.180054
2001-05-11;1.468367;14.68;;;;1245.670044
2001-05-14;1.496642;13.33;;;;1248.920044
2001-05-15;1.489573;13.54;;;;1249.439941
2001-05-16;1.548694;14.13;;;;1284.98999
2001-05-17;1.51335;14.78;;;;1288.48999
2001-05-18;1.512065;14.72;;;;1291.959961
2001-05-21;1.513992;16.379998999999998;;;;1312.829956
2001-05-22;1.510137;16.25;;;;1309.380005
2001-05-23;1.4927860000000002;15.6;;;;1289.050049
2001-05-24;1.490859;16.75;;;;1293.170044
2001-05-25;1.462584;17.09;;;;1277.890015
2001-05-29;1.379687;17.219998999999998;;;;1267.930054
2001-05-30;1.271085;15.66;;;;1248.079956
2001-05-31;1.28201;16.690001000000002;;;;1255.819946
2001-06-01;1.342416;16.950001;;;;1260.670044
2001-06-04;1.3276350000000001;16.91;;;;1267.109985
2001-06-05;1.345628;16.440001000000002;;;;1283.569946
2001-06-06;1.332134;15.99;;;;1270.030029
2001-06-07;1.391896;16.129998999999998;;;;1276.959961
2001-06-08;1.370048;15.7;;;;1264.959961
2001-06-11;1.287793;14.86;;;;1254.390015
2001-06-12;1.305144;14.64;;;;1255.849976
2001-06-13;1.315426;14.12;;;;1241.599976
2001-06-14;1.277512;13.29;;;;1219.869995
2001-06-15;1.313498;12.49;;;;1214.359985
2001-06-18;1.306429;11.83;;;;1208.430054
2001-06-19;1.297432;11.36;;;;1212.579956
2001-06-20;1.392539;12.53;;;;1223.140015
2001-06-21;1.445233;13.08;;;;1237.040039
2001-06-22;1.430453;12.4;;;;1225.349976
2001-06-25;1.541625;12.81;;;;1218.599976
2001-06-26;1.526202;13.25;;;;1216.76001
2001-06-27;1.499855;14.04;;;;1211.069946
2001-06-28;1.512707;14.36;;;;1226.199951
2001-06-29;1.4940719999999998;14.15;;;;1224.380005
2001-07-02;1.535841;14.53;;;;1236.719971
2001-07-03;1.531986;14.13;;;;1234.449951
2001-07-05;1.490216;15.27;;;;1219.23999
2001-07-06;1.415673;15.27;;;;1190.589966
2001-07-09;1.458728;15.81;;;;1198.780029
2001-07-10;1.358481;15.61;;;;1181.52002
2001-07-11;1.448446;15.34;;;;1180.180054
2001-07-12;1.565401;16.49;;;;1208.140015
2001-07-13;1.596889;16.98;;;;1215.680054
2001-07-16;1.5396969999999999;16.01;;;;1202.449951
2001-07-17;1.612954;16.35;;;;1214.439941
2001-07-18;1.3359889999999999;15.96;;;;1207.709961
2001-07-19;1.2826520000000001;16.49;;;;1215.02002
2001-07-20;1.283938;16.98;;;;1210.849976
2001-07-23;1.255663;16.030001000000002;;;;1191.030029
2001-07-24;1.226745;12.06;;;;1171.650024
2001-07-25;1.186903;11.51;;;;1190.48999
2001-07-26;1.194615;12.33;;;;1202.930054
2001-07-27;1.218391;12.25;;;;1205.819946
2001-07-30;1.2164629999999998;12.55;;;;1204.52002
2001-07-31;1.207467;12.49;;;;1211.22998
2001-08-01;1.224817;12.5;;;;1215.930054
2001-08-02;1.273656;12.19;;;;1220.75
2001-08-03;1.253093;12.15;;;;1214.349976
2001-08-06;1.229316;11.9;;;;1200.47998
2001-08-07;1.237027;11.6;;;;1204.400024
2001-08-08;1.2145350000000001;11.11;;;;1183.530029
2001-08-09;1.224175;10.46;;;;1183.430054
2001-08-10;1.2222469999999999;9.95;;;;1190.160034
2001-08-13;1.226745;10.12;;;;1191.290039
2001-08-14;1.203611;10.53;;;;1186.72998
2001-08-15;1.184976;10.08;;;;1178.02002
2001-08-16;1.1984700000000001;9.81;;;;1181.660034
2001-08-17;1.1611989999999999;9.99;;;;1161.969971
2001-08-20;1.164412;10.4;;;;1171.410034
2001-08-21;1.1515600000000001;9.89;;;;1157.26001
2001-08-22;1.170195;10.2;;;;1165.310059
2001-08-23;1.144491;9.63;;;;1162.089966
2001-08-24;1.193329;10.23;;;;1184.930054
2001-08-27;1.2158209999999998;10.13;;;;1179.209961
2001-08-28;1.182405;9.97;;;;1161.51001
2001-08-29;1.1457760000000001;9.19;;;;1148.560059
2001-08-30;1.1457760000000001;8.69;;;;1129.030029
2001-08-31;1.192044;8.94;;;;1133.579956
2001-09-04;1.172766;8.59;;;;1132.939941
2001-09-05;1.192044;7.65;;;;1131.73999
2001-09-06;1.138708;8.15;;;;1106.400024
2001-09-07;1.110433;8.51;;;;1085.780029
2001-09-10;1.1162159999999999;8.63;;;;1092.540039
2001-09-17;1.091797;7.49;;;;1038.77002
2001-09-18;1.046171;7.29;;;;1032.73999
2001-09-19;1.093725;7.31;;;;1016.099976
2001-09-20;1.007615;7.48;;;;984.5399779999999
2001-09-21;1.010828;7.48;;;;965.7999880000001
2001-09-24;1.0570959999999998;7.46;;;;1003.4500119999999
2001-09-25;0.998618;7.09;;;;1012.2700199999999
2001-09-26;0.973556;6.35;;;;1007.0399779999999
2001-09-27;0.99669;6.2;;;;1018.6099849999999
2001-09-28;0.99669;5.97;;;;1040.939941
2001-10-01;0.998618;6.01;;;;1038.550049
2001-10-02;0.9671299999999999;6.08;;;;1051.329956
2001-10-03;0.9626319999999999;6.76;;;;1072.280029
2001-10-04;1.020467;7.04;;;;1069.630005
2001-10-05;1.037175;7.2;;;;1071.380005
2001-10-08;1.041031;7.12;;;;1062.439941
2001-10-09;1.028178;6.91;;;;1056.75
2001-10-10;1.080873;7.26;;;;1080.98999
2001-10-11;1.139993;7.85;;;;1097.430054
2001-10-12;1.157343;8.07;;;;1091.650024
2001-10-15;1.156058;8.88;;;;1089.97998
2001-10-16;1.157343;9.56;;;;1097.540039
2001-10-17;1.091797;8.92;;;;1077.089966
2001-10-18;1.1567;8.47;;;;1068.609985
2001-10-19;1.175979;8.01;;;;1073.47998
2001-10-22;1.2222469999999999;8.77;;;;1089.900024
2001-10-23;1.165697;9.55;;;;1084.780029
2001-10-24;1.217749;7.64;;;;1085.199951
2001-10-25;1.233171;7.77;;;;1100.089966
2001-10-26;1.199756;7.56;;;;1104.609985
2001-10-29;1.132924;7.05;;;;1078.300049
2001-10-30;1.130996;6.42;;;;1059.790039
2001-10-31;1.128425;6.98;;;;1059.780029
2001-11-01;1.194615;6.95;;;;1084.099976
2001-11-02;1.193329;6.71;;;;1087.199951
2001-11-05;1.22546;6.99;;;;1102.839966
2001-11-06;1.257591;7.05;;;;1118.859985
2001-11-07;1.258876;7.43;;;;1115.800049
2001-11-08;1.202326;6.97;;;;1118.540039
2001-11-09;1.202326;7.12;;;;1120.310059
2001-11-12;1.2048969999999999;7.05;;;;1118.329956
2001-11-13;1.244738;7.29;;;;1139.089966
2001-11-14;1.260161;9.49;;;;1141.209961
2001-11-15;1.2498790000000002;9.05;;;;1142.23999
2001-11-16;1.219034;8.95;;;;1138.650024
2001-11-19;1.285223;9.19;;;;1151.060059
2001-11-20;1.25502;8.6;;;;1142.660034
2001-11-21;1.264659;8.8;;;;1137.030029
2001-11-23;1.2749409999999999;9.08;;;;1150.339966
2001-11-26;1.3732600000000001;12.21;;;;1157.420044
2001-11-27;1.349484;11.48;;;;1149.5
2001-11-28;1.319281;11.59;;;;1128.52002
2001-11-29;1.3122120000000002;11.15;;;;1140.199951
2001-11-30;1.368762;11.32;;;;1139.449951
2001-12-03;1.352697;10.49;;;;1129.900024
2001-12-04;1.43945;11.93;;;;1144.800049
2001-12-05;1.526845;11.76;;;;1170.349976
2001-12-06;1.463869;12.1;;;;1167.099976
2001-12-07;1.448446;11.71;;;;1158.310059
2001-12-10;1.448446;11.65;;;;1139.930054
2001-12-11;1.399607;12.24;;;;1136.76001
2001-12-12;1.3809719999999999;11.91;;;;1137.069946
2001-12-13;1.349484;10.89;;;;1119.380005
2001-12-14;1.3102850000000001;11.0;;;;1123.089966
2001-12-17;1.325065;10.81;;;;1134.359985
2001-12-18;1.350127;10.86;;;;1142.920044
2001-12-19;1.389326;10.71;;;;1149.560059
2001-12-20;1.328278;10.15;;;;1139.930054
2001-12-21;1.349484;10.0;;;;1144.890015
2001-12-24;1.3726180000000001;9.83;;;;1144.650024
2001-12-26;1.3809719999999999;11.1;;;;1149.369995
